"name";"email";"website";"address";"reachable";"uses_https";"has_viewport";"doctype_html4";"veraltet_score";"uses_bootstrap_css";"uses_jquery";"uses_deprecated_tags";"missing_semantic_html5";"uses_table_layout";"large_page_size";"missing_meta_charset"
"Murat Günaydin";"murat0505@web.de";"WEB_NULL";"Tiefstr. 37 49084 Osnabrück (Schinkel)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Dirk Rostek Malerfachbetrieb";"rostek.farbdesign@gmail.com";"WEB_NULL";"Am Sportplatz 2 B 49086 Osnabrück (Voxtrup)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Edelburg Malerbetrieb GmbH";"edelburg@osnanet.de";"https://www.edelburg-malerbetriebe.de";"Am Vogelsang 72 49088 Osnabrück (Sonnenhügel)";"True";"True";"False";"False";"50";"False";"False";"False";"True";"False";"False";"True"
"Hausservice Niekamp GmbH";"info@hausservice-niekamp.de";"http://www.hausservice-niekamp.de/";"Ertmanstr. 56 49082 Osnabrück (Schölerberg)";"True";"False";"True";"False";"20";"False";"False";"False";"False";"False";"False";"False"
"Leoni-BAU";"MAIL_NULL";"WEB_NULL";"Iburger Str. 59 49082 Osnabrück (Schölerberg)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Alexander Kroll Malermeister";"info@malermeister-kroll.de";"http://www.malermeister-kroll.de";"Knollstr. 104 49088 Osnabrück (Sonnenhügel)";"True";"False";"True";"False";"50";"False";"True";"False";"True";"False";"False";"True"
"Borggreve Malerbetrieb";"borggreve@osnanet.de";"http://www.borggreve-osnabrueck.de";"Bremer Str. 52 A 49084 Osnabrück (Schinkel)";"True";"False";"True";"False";"25";"False";"False";"False";"False";"False";"False";"True"
"Erwin Krämer Malermeister GmbH Co.KG";"info@erwin-kraemer.de";"http://www.erwin-kraemer.de";"Nordstr. 10 49086 Osnabrück (Gretesch)";"True";"False";"True";"False";"30";"False";"True";"False";"False";"False";"False";"False"
"Feldmann GmbH Heinrich Malermeisterbetrieb";"info@feldmann-malerbetrieb.de";"https://www.maler-osnabrueck.de";"Königsfeld 16 49086 Osnabrück (Gretesch)";"True";"True";"True";"False";"0";"False";"False";"False";"False";"False";"False";"False"
"Frank Derbfuß Malerbetrieb GmbH";"info@malerbetrieb-derbfuss.de";"https://www.malerbetrieb-derbfuss.de";"Ertmanstr. 39 49082 Osnabrück (Schölerberg)";"True";"True";"True";"False";"10";"False";"True";"False";"False";"False";"False";"False"
"h. georg dieckmann, malermeister";"carsten.dieckmann@osnanet.de";"http://www.maler-dieckmann.de/";"Lange Str. 63 49080 Osnabrück (Wüste)";"True";"False";"False";"False";"70";"False";"False";"False";"True";"False";"False";"True"
"Helmut Barlag Malerbetrieb GmbH";"info@malerbetrieb-barlag.de";"https://www.malerbetrieb-barlag.de/";"Bramscher Str. 269 49090 Osnabrück (Haste)";"True";"True";"True";"False";"20";"False";"False";"False";"True";"False";"False";"True"
"Hermann Nietiet";"info@nietiet.de";"https://www.nietiet.de";"Eversburger Str. 40 49090 Osnabrück (Eversburg)";"True";"True";"True";"False";"10";"False";"True";"False";"False";"False";"False";"False"
"Johannes Eidt";"post@johannes-eidt.de";"http://www.johannes-eidt.de/";"Heger Str. 16 49074 Osnabrück (Innenstadt)";"True";"False";"True";"False";"40";"True";"True";"False";"False";"False";"False";"False"
"Malerbetrieb Schmidtwilken";"info@schmidtwilken.de";"https://schmidtwilken.de";"Iburger Str. 150 49082 Osnabrück (Schölerberg)";"True";"True";"True";"False";"10";"False";"True";"False";"False";"False";"False";"False"
"Malerfachbetrieb Schütte GmbH";"info@malerteam-schuette.de";"https://www.malerteam-schuette.de/";"Albert-Brickwedde-Str. 8 49084 Osnabrück (Fledder)";"True";"True";"True";"False";"10";"False";"True";"False";"False";"False";"False";"False"
"Petau's Baubiologie GmbH Tischlerbetrieb";"info@goldenezeiten.eu";"http://www.petau.de";"Iburger Str. 43 49082 Osnabrück (Schölerberg)";"True";"False";"True";"False";"30";"True";"False";"False";"False";"False";"False";"False"
"Schmidt Raumgestaltung";"info@schmidt-raumgestaltung-os.de";"https://www.schmidt-raumgestaltung-os.de";"Hügelstr. 28 49088 Osnabrück (Sonnenhügel)";"True";"True";"True";"False";"35";"True";"True";"True";"False";"False";"False";"False"
"Sebastian Vallo Malermeister";"info@vallo.de";"https://www.vallo.de";"Hesselkamp 51 49088 Osnabrück (Dodesheide)";"True";"True";"False";"False";"50";"False";"False";"False";"True";"False";"False";"True"
"Busch GmbH Fassaden- u. Raumgestaltung Malerbetrieb";"info@maler-busch.de";"https://www.maler-busch.de";"Winkelhausenstr. 49090 Osnabrück (Hafen)";"True";"True";"True";"False";"15";"False";"True";"False";"False";"False";"False";"True"
"A. Dependehner Malerbetrieb GmbH";"dependehner@osnanet.de";"http://www.dependehner.de";"Arndtstr. 9 49078 Osnabrück (Weststadt)";"True";"False";"False";"False";"70";"False";"False";"False";"True";"False";"False";"True"
"Andreas Mohring-Kiesler Malermeister";"info@mohring-kiesler.de";"http://mohring-kiesler.de";"Drosselweg 16 49088 Osnabrück (Sonnenhügel)";"True";"False";"True";"False";"20";"False";"False";"False";"False";"False";"False";"False"
"AVM Maler- und Baudekoration GmbH";"kontakt@avm-gmbh.com";"https://avm-gmbh.com";"Bremer Str. 57 - 79 49084 Osnabrück (Schinkel)";"True";"True";"True";"False";"30";"False";"True";"False";"True";"False";"False";"True"
"Bassauer Malerbetrieb";"info@bassauer-malerbetrieb.de";"https://bassauer-malerbetrieb.de";"Hansastr. 112 49090 Osnabrück (Hafen)";"True";"True";"True";"False";"10";"False";"True";"False";"False";"False";"False";"False"
"Broermann GmbH";"kontakt@jochen-broermann.de";"https://www.jochen-broermann.de/";"Blumenmorgen 16 A 49090 Osnabrück (Haste)";"True";"True";"False";"False";"50";"False";"False";"False";"True";"False";"False";"True"
"Dachreinigung Und Dachbeschichtung";"daxhfalke0001@yahoo.com";"WEB_NULL";"Modemannskamp 4 49082 Osnabrück (Schölerberg)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Eurobud";"eurobau.handwerker@gmail.com";"WEB_NULL";"Bremer Str. 29 49084 Osnabrück (Schinkel)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Helmut Prues Malermeister";"info@malermeister-prues.de";"https://malermeister-prues.de/";"Hubertushöhe 14 49082 Osnabrück (Nahne)";"True";"True";"True";"False";"25";"False";"True";"False";"True";"False";"False";"False"
"Jörg Wochnowski Farbe & Raum Bausanierung";"iwochnowski@gmx.de";"WEB_NULL";"Ankumer Weg 24 49090 Osnabrück (Haste)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
